Transaction_ID,Ref_ID,Service_Type,Channel,Service_Name,Service_Detail,Amount,CCY,Fee_Amount,Description,Booking_Date,Status,From_Account,To_Account
FT1000000000069,DEP2615138727606434,CKNB,IB,OUTER_COM,CKNB toi KH doanh nghiep,18254711,EUR,4645,Nap tien dien thoai,2025-04-23 09:24:46,Failed,EXT7800539320420,DEP5971496382429
FT1000000000070,AP4096805531,PMT,IB,AIRLINE,Ve may bay,32788994,EUR,6940,Dong hoc phi,2024-02-26 10:05:56,Pending,AP29315003923041,EXT4763519047408139
FT1000000000071,SEC66683591006,VTK,IB,LN_PAY,Giai ngan khoan vay,168747964,EUR,10350,Rut tien tai ATM,2025-02-11 00:19:13,Pending,DEP7658804764902,AP7337328351
FT1000000000072,LOAN27228142155554,LNH,MB,CITAD,Chuyen tien CITAD,7396204,EUR,8669,Phi dich vu thang nay,2024-11-25 07:10:29,Pending,EXT775171671848,DEP50478046794950
FT1000000000073,DEP71607277545673,CASH,ATM,ATM,Nop tien vao TK,7087606,EUR,33302,Chuyen khoan,2025-03-08 21:38:23,Completed,AP5584110,DEP5955060218611171
FT1000000000074,DEP508920540842,CKNB,TL,OUTER_COM,Nhan tien tu KH doanh nghiep,3976116,VND,22810,Thanh toan Internet,2024-06-09 10:29:12,Pending,AP6358388,DEP3051909171
FT1000000000075,LOAN547711341871106,OTHER,OTHER,FUND,Rut Quy dau tu,12855203,VND,2119,Rut tien tai ATM,2025-01-18 17:11:13,Failed,DEP184317,DEP2877871187672
FT1000000000076,AP3438014,CASH,ATM,ATM,Nop tien vao TK,33073110,EUR,22592,Thanh toan Internet,2024-05-23 03:39:03,Completed,EXT458657222635,EXT243162473349
FT1000000000077,LOAN7424090,CKNB,TL,OUTER_IDV,CKNB toi KH ca nhan,17292414,USD,30144,Dong hoc phi,2025-05-25 12:54:25,Completed,EXT95038844336740,AP451221119579
FT1000000000078,LOAN89546124661,PMT,ATM,AIRLINE,Ve may bay,27322042,VND,30348,Chuyen khoan,2024-08-16 09:46:31,Completed,AP214082,DEP486637427730
FT1000000000079,AP234157,LNH,MB,CITAD,Nhan tien qua CITAD,1222246,USD,18963,Nap tien dien thoai,2025-05-31 00:24:52,Completed,DEP1584438,DEP19388268035596
FT1000000000080,AP20924752746,LNH,IB,CITAD,Chuyen tien CITAD,1221693,EUR,2578,Nap tien dien thoai,2025-03-01 18:10:41,Failed,AP9546042531051,EXT39529655
FT1000000000081,DEP611287140677,VTK,TL,SAVING,Gui tiet kiem,73377857,EUR,36723,Rut tien tai ATM,2024-11-18 05:30:11,Completed,EXT97745109088287,EXT294539754109641
FT1000000000082,LOAN136600,PMT,ATM,EDUCATION,Hoc phi,5590241,VND,35188,Chuyen khoan,2024-07-16 01:12:00,Pending,DEP662012319,AP6302334352007
FT1000000000083,LOAN9539393580,OTHER,MB,EBANKPAY,Thanh toan doi tac EBank,15427727,USD,3433,Nap tien dien thoai,2025-06-01 17:34:57,Pending,AP489605241587,AP5452543
FT1000000000084,LOAN4029760735582,PMT,TL,WATER,Hoa don nuoc,6877244,EUR,47440,Thanh toan ve may bay,2024-04-08 04:42:10,Completed,AP29387199798,DEP71878385246
FT1000000000085,SEC162907565,PMT,IB,WATER,Hoa don nuoc,6627345,VND,9783,Phi dich vu thang nay,2024-02-25 12:15:20,Pending,AP4802630774,DEP498304045801
FT1000000000086,LOAN6467238,CASH,ATM,ATM,Nop tien vao TK,7960187,VND,38147,Dong hoc phi,2024-03-06 10:43:16,Completed,AP638474750682,EXT467578024
FT1000000000087,AP1112377881,VTK,IB,SAVING,Gui tiet kiem,103205895,VND,5807,Rut tien tai ATM,2025-04-04 07:09:38,Completed,EXT52571821,EXT47853377406
FT1000000000088,AP218969,CASH,ATM,TL,Rut tien tai quay,2611179,USD,21453,Thanh toan Internet,2024-04-19 20:18:52,Completed,DEP1384065,EXT695580583199181
FT1000000000089,SEC62320406486989,CKNB,IB,OUTER_IDV,Nhan tien tu KH ca nhan,6209276,VND,16963,Chuyen khoan,2024-08-26 20:16:18,Pending,DEP4637795448130,AP16143328535113
FT1000000000090,SEC1041045,CKNB,IB,OUTER_IDV,CKNB toi KH ca nhan,7641439,USD,6823,Nap tien dien thoai,2024-08-09 00:47:57,Failed,DEP260530767941,DEP1238267296547206
FT1000000000091,LOAN156396,OTHER,MB,FUND,Rut Quy dau tu,19167012,USD,8247,Chuyen khoan,2024-10-04 15:58:12,Completed,AP603696833875,DEP376636440
FT1000000000092,AP15825715158,CASH,ATM,ATM,Nop tien vao TK,22265422,EUR,9086,Thanh toan Internet,2024-03-03 12:22:51,Failed,EXT679711182406162,DEP350760493707
FT1000000000093,SEC829318105288,PMT,IB,EDUCATION,Hoc phi,2551155,VND,128,Thanh toan ve may bay,2024-05-30 17:00:52,Failed,AP11827876741022,DEP9385984637
FT1000000000094,SEC96396513,OTHER,IB,EBANKPAY,Thanh toan doi tac EBank,18334261,USD,16219,Rut tien tai ATM,2024-02-14 10:17:39,Failed,AP29555856948663,DEP5446516
FT1000000000095,LOAN28808863622501,LNH,MB,CITAD,Chuyen tien CITAD,4757349,VND,825,Thanh toan hoa don,2024-08-29 04:03:57,Completed,DEP82367535912650,DEP9642275629525
FT1000000000096,SEC960224958,OTHER,IB,STOCK,CK sang CTCK,3356141,USD,1381,Thanh toan hoa don,2024-01-15 11:55:16,Pending,EXT7566696259,DEP962877607678622
FT1000000000097,LOAN1569156462623,VTK,MB,LN_PAY,Giai ngan khoan vay,26038942,USD,2937,Rut tien tai ATM,2024-08-27 18:41:20,Completed,DEP964099208060049,EXT306098926923757
FT1000000000098,SEC587166,CKNB,TL,OUTER_COM,CKNB toi KH doanh nghiep,10702853,VND,3802,Dong hoc phi,2024-04-23 21:42:34,Failed,DEP185413073450,DEP293623724350
FT1000000000099,AP76058925048898,LNH,IB,CITAD,Nhan tien qua CITAD,4312234,USD,12956,Thanh toan ve may bay,2024-03-12 22:33:30,Completed,EXT4827758,AP736811
FT1000000000100,DEP4436477005690974,LNH,MB,CITAD,Nhan tien qua CITAD,7120506,USD,13780,Nap tien dien thoai,2025-06-01 06:51:09,Failed,DEP672747091457781,AP68722753739
FT1000000000101,AP7199606016182,VTK,TL,LN_PAY,Thanh toan khoan vay,43318478,VND,7782,Phi dich vu thang nay,2024-01-01 02:24:20,Failed,AP347224109016948,EXT96199725766823
FT1000000000102,SEC509123995453,OTHER,MB,STOCK,CK sang CTCK,2585803,VND,3006,Nap tien dien thoai,2025-05-19 22:42:04,Completed,EXT93383781963,DEP7451552
FT1000000000103,DEP18278449426468,CKNB,TL,OUTER_COM,CKNB toi KH doanh nghiep,18384201,USD,40147,Thanh toan ve may bay,2024-11-25 02:44:45,Completed,AP63253099184718,EXT433451385502834
FT1000000000104,AP874060678354,CKNB,MB,OUTER_IDV,Nhan tien tu KH ca nhan,2513031,EUR,16983,Thanh toan ve may bay,2025-06-23 03:17:06,Pending,EXT345905067895,EXT896137501347825
FT1000000000105,AP81924320074824,LNH,TL,CITAD,Chuyen tien CITAD,19963116,USD,49914,Thanh toan Internet,2024-11-01 18:21:19,Completed,DEP97371648110,AP2135632330
FT1000000000106,SEC26545563504,CKNB,MB,OUTER_COM,CKNB toi KH doanh nghiep,11103697,USD,10175,Dong hoc phi,2025-03-24 07:24:49,Failed,EXT624680227,AP834112
FT1000000000107,AP696442048095,CASH,TL,ATM,Nop tien vao TK,27020210,USD,12957,Thanh toan Internet,2025-01-20 21:01:23,Completed,AP178296,DEP4953482835178485
FT1000000000108,LOAN7590132,CKNB,TL,OUTER_IDV,Nhan tien tu KH ca nhan,2757127,EUR,9762,Chuyen khoan,2024-04-13 01:26:30,Failed,AP3043742828,DEP6106018077
FT1000000000109,SEC8171132665211968,PMT,IB,TOPUP,Nap tien di dong,1633411,VND,8967,Chuyen khoan,2024-11-12 20:23:47,Pending,EXT872791088975,DEP537948327272707
FT1000000000110,SEC615889,LNH,MB,CITAD,Chuyen tien CITAD,14192209,USD,9271,Nap tien dien thoai,2025-08-09 21:54:37,Completed,EXT9751858,EXT27719090627020
FT1000000000111,LOAN50207524149,VTK,IB,SAVING,Gui tiet kiem,155266739,USD,18675,Chuyen khoan,2024-06-06 06:58:51,Completed,AP388232943,DEP8259562
FT1000000000112,AP91457948358272,CASH,TL,TL,Rut tien tai quay,9419679,EUR,21112,Rut tien tai ATM,2025-01-30 20:02:15,Pending,AP18548251432910,DEP219157661897
FT1000000000113,DEP789499211385193,CASH,ATM,TL,Giao dich ngoai te,3313194,VND,49706,Nap tien dien thoai,2024-10-09 05:50:31,Pending,DEP6707031253563076,EXT4473666
FT1000000000114,SEC566697520113,LNH,IB,CITAD,Chuyen tien CITAD,1541562,VND,19627,Thanh toan ve may bay,2024-07-03 09:27:48,Failed,EXT47724109392072,EXT294441320
FT1000000000115,SEC90689999,CKNB,MB,OUTER_COM,CKNB toi KH doanh nghiep,19896526,USD,18060,Rut tien tai ATM,2025-07-27 17:49:18,Pending,AP179942,AP168734264
FT1000000000116,DEP927777696,VTK,TL,LN_PAY,Thanh toan khoan vay,191009599,USD,4022,Thanh toan ve may bay,2024-04-20 21:01:18,Failed,EXT8317921748138,AP791311150854
FT1000000000117,SEC8463814730,LNH,MB,CITAD,Chuyen tien CITAD,18121897,VND,14420,Thanh toan ve may bay,2024-01-24 10:46:42,Failed,AP41726716865508,EXT893164
FT1000000000118,AP90120836571322,PMT,IB,AIRLINE,Ve may bay,582752,USD,4234,Rut tien tai ATM,2024-07-06 22:24:19,Pending,AP3134893400677846,AP6416182771004
FT1000000000119,AP27137761,PMT,TL,WATER,Hoa don nuoc,5430090,USD,11748,Thanh toan ve may bay,2024-07-06 08:33:30,Completed,EXT44950910964481,EXT768738
FT1000000000120,LOAN5673680090671,CASH,ATM,TL,Rut tien tai quay,19231132,USD,8121,Dong hoc phi,2025-05-22 20:38:49,Completed,EXT3704644397,AP5633140205909
FT1000000000121,DEP9390702077507,LNH,TL,CITAD,Nhan tien qua CITAD,11698878,VND,42331,Chuyen khoan,2024-07-25 08:53:03,Failed,AP182719316296,AP92650938457222
FT1000000000122,AP868203924870042,LNH,IB,CITAD,Chuyen tien CITAD,3454937,EUR,1622,Thanh toan hoa don,2025-04-12 13:18:57,Failed,DEP81667722142,DEP331935853921160
FT1000000000123,SEC45959061195775,PMT,IB,ELECTRICITY,Hoa don dien,4230874,USD,18723,Phi dich vu thang nay,2024-07-19 14:36:36,Pending,DEP92239711691016,AP96613816855
FT1000000000124,LOAN52186360,VTK,OTHER,LN_PAY,Thanh toan khoan vay,89516666,USD,19171,Dong hoc phi,2024-05-29 09:04:44,Completed,AP492944733156,DEP7772610118456
FT1000000000125,DEP8889431136,VTK,IB,SAVING,Rut tiet kiem,117529571,EUR,2825,Dong hoc phi,2024-01-01 04:49:29,Completed,DEP3998356014,AP6707220822382771
FT1000000000126,LOAN21139440968338,CASH,TL,TL,Rut tien tai quay,32015193,EUR,40877,Dong hoc phi,2024-02-08 02:40:25,Pending,DEP752861592,AP68984146822
FT1000000000127,AP396227,CASH,ATM,TL,Rut tien tai quay,10748114,VND,34116,Thanh toan hoa don,2024-02-25 08:08:27,Failed,EXT3537510492528,EXT36124565
FT1000000000128,DEP84247784,LNH,TL,CITAD,Chuyen tien CITAD,2667985,EUR,13712,Dong hoc phi,2024-04-16 21:41:34,Pending,DEP4993956391,EXT2224406239
FT1000000000129,DEP162984,PMT,MB,AIRLINE,Ve may bay,30439081,USD,10444,Chuyen khoan,2024-07-06 02:50:17,Completed,EXT63017750563438,DEP903803075
FT1000000000130,DEP74302806258552,LNH,TL,CITAD,Nhan tien qua CITAD,9161121,VND,17703,Phi dich vu thang nay,2025-02-07 08:21:40,Failed,DEP54617208818801,DEP660878058
FT1000000000131,AP5386495563,OTHER,OTHER,STOCK,Nhan tien tu CTCK,741564,VND,5912,Thanh toan ve may bay,2025-07-03 09:34:39,Pending,EXT679012,DEP8481107663
FT1000000000132,LOAN343064594,PMT,IB,WATER,Hoa don nuoc,1780884,USD,14330,Chuyen khoan,2025-05-28 16:50:31,Pending,AP5259141481107508,EXT25033504131
FT1000000000133,AP82043635167739,VTK,TL,LN_PAY,Giai ngan khoan vay,131359811,VND,16897,Thanh toan Internet,2025-06-10 13:13:43,Completed,AP78330903375233,EXT45279029
FT1000000000134,DEP76981653,OTHER,IB,TRACER,Nhan tien tra soat,16077994,USD,17111,Thanh toan hoa don,2024-03-08 09:09:05,Completed,AP39974370924,DEP2106164444026
FT1000000000135,DEP701426912817,LNH,TL,CITAD,Nhan tien qua CITAD,14480561,VND,14335,Thanh toan Internet,2025-06-13 14:53:42,Failed,DEP23407715,DEP888536042525394
FT1000000000136,AP612208078,CASH,TL,ATM,Rut tien tu TK,2039031,USD,30775,Thanh toan ve may bay,2024-11-03 09:14:13,Failed,AP822926349,EXT7003868740758
FT1000000000137,SEC93996325,CASH,TL,TL,Rut tien tai quay,30118375,VND,19341,Rut tien tai ATM,2025-05-05 00:02:30,Pending,EXT47321337022,DEP78470392
FT1000000000138,SEC52645677075,PMT,ATM,INTERNET,Hoa don mang,315109,VND,34599,Rut tien tai ATM,2025-01-17 05:05:15,Pending,AP54448632770231,DEP6868064150
FT1000000000139,SEC142108921,PMT,IB,TOPUP,Nap tien di dong,312441,EUR,15114,Phi dich vu thang nay,2024-12-25 11:18:39,Pending,AP4697245304295272,EXT36238096790239
FT1000000000140,SEC4864839,CKNB,MB,OUTER_COM,CKNB toi KH doanh nghiep,3425316,VND,8906,Nap tien dien thoai,2025-02-11 05:25:45,Pending,EXT31504005689951,AP6079996
FT1000000000141,AP436751666,PMT,MB,WATER,Hoa don nuoc,5676104,VND,5643,Thanh toan Internet,2024-02-27 15:25:10,Completed,DEP6589554,DEP373761174181969
FT1000000000142,DEP26522218372767,LNH,TL,CITAD,Nhan tien qua CITAD,625875,USD,25865,Rut tien tai ATM,2024-09-18 02:46:05,Completed,AP38369671035923,DEP5249213350168430
FT1000000000143,DEP97391202439,PMT,IB,WATER,Hoa don nuoc,5374644,EUR,7127,Phi dich vu thang nay,2024-05-21 12:28:14,Completed,EXT4505412130,EXT48968213
FT1000000000144,DEP11248988267,CASH,ATM,TL,Rut tien tai quay,16537975,EUR,45667,Thanh toan hoa don,2024-05-17 06:37:39,Failed,DEP95307516799,DEP23190781365
FT1000000000145,AP85628368424562,PMT,ATM,TOPUP,Nap tien di dong,1356228,VND,40588,Thanh toan ve may bay,2024-03-04 21:12:47,Pending,EXT4853578097552318,AP4031526360
